lon,lat,ppi
27.730005,43.491669,0.655695
27.777532,43.465424,0.000000
27.899885,43.454802,0.028056
27.867012,43.463790,0.054623
27.781051,43.556252,0.068315
27.739093,43.567426,0.000000
27.836694,43.560091,0.652400
27.761211,43.543961,0.000000
27.791015,43.475506,0.000000
27.724287,43.582288,0.030617
27.862774,43.539547,0.000000
27.830329,43.574454,0.000000
27.810067,43.568836,0.692268
27.871918,43.589991,0.000000
27.782405,43.517345,0.042438
27.801104,43.499837,0.053589
27.818190,43.482698,0.000000
27.788889,43.473720,0.000000
27.791833,43.500262,0.000000
27.723378,43.454524,0.394226
27.783617,43.534535,0.000000
27.796745,43.525800,0.617192
27.849164,43.478150,0.000000
27.722205,43.459754,0.350967
27.723805,43.469558,0.437771
27.769320,43.558673,3.000000
27.885583,43.508038,0.291635
27.791710,43.490899,0.743238
27.809579,43.569380,0.700569
27.827213,43.545843,3.000000
27.713501,43.465931,0.719587
27.825762,43.466706,0.123874
27.727760,43.490063,0.669327
27.748961,43.524322,0.000000
27.872016,43.579636,0.000000
27.766970,43.490527,0.024130
27.828328,43.473531,0.033514
27.702258,43.583866,0.039000
27.823636,43.537675,0.000000
27.742797,43.566592,0.586552
27.726458,43.567147,0.408593
27.719763,43.451935,0.118728
27.779270,43.542938,0.010593
27.773355,43.545050,0.069553
27.775982,43.566462,0.000000
27.826333,43.472285,0.049712
27.719629,43.461481,0.578681
27.866768,43.515926,0.072982
27.733970,43.553503,0.066211
27.832400,43.490970,0.000000
27.835791,43.593233,0.000000
27.776427,43.543228,0.000000
27.786485,43.545680,0.000000
27.759644,43.458521,0.450329
27.834687,43.468442,0.000000
27.752961,43.467839,0.656857
27.889892,43.464514,0.337064
27.809562,43.531113,0.000000
27.777834,43.508282,0.067437
27.821765,43.591263,0.363094
27.771530,43.489236,0.067961
27.742889,43.463133,0.620727
27.847242,43.552900,0.000000
27.727945,43.526079,0.384677
27.721180,43.467144,0.429792
27.713301,43.501499,0.357520
27.748944,43.492988,0.519662
27.791127,43.531512,0.327193
27.739485,43.498272,0.713583
27.820509,43.553545,0.782727
27.710650,43.570758,0.089663
27.787868,43.528293,0.000000
27.792331,43.519438,0.363240
27.742330,43.488168,0.481862
27.743464,43.560375,0.826760
27.769262,43.544357,0.080972
27.823545,43.494636,0.105768
27.764640,43.452815,0.434206
27.866450,43.459112,0.000000
27.712542,43.458013,0.107513
27.716389,43.574324,0.000000
27.781355,43.531849,0.000000
